Timestamp,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_memory_failures_total,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_memory_cache,container_network_receive_bytes_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_packets_total,container_processes,container_sockets,container_threads,container_file_descriptors,container_last_seen
2026-07-16 05:30:44.818041,0.0,0.0,0.0,11.951052,17.970432,6.019379,903534.0,150519808.0,402411520.0,379699200.0,88707072.0,7365815.0,61822.0,12731013.0,38700.0,0.0,0.0,0.0,0.0,1784179844.0
2026-07-16 05:30:45.907026,0.0,0.0,0.0,11.951942,17.971322,6.019379,903534.0,150519808.0,402411520.0,379699200.0,88707072.0,7366408.0,61826.0,12731219.0,38703.0,0.0,0.0,0.0,0.0,1784179845.0
2026-07-16 05:30:46.981477,0.0,0.0,0.0,11.95261,17.97199,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7366408.0,61826.0,12731219.0,38703.0,0.0,0.0,0.0,0.0,1784179847.0
2026-07-16 05:30:48.077582,0.0,0.0,0.0,11.953466,17.972846,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7367001.0,61830.0,12731425.0,38706.0,0.0,0.0,0.0,0.0,1784179848.0
2026-07-16 05:30:49.146696,0.0,0.0,0.0,11.954327,17.973707,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7367001.0,61830.0,12731425.0,38706.0,0.0,0.0,0.0,0.0,1784179849.0
2026-07-16 05:30:50.223877,0.0,0.0,0.0,11.955247,17.974627,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7367001.0,61830.0,12731425.0,38706.0,0.0,0.0,0.0,0.0,1784179850.0
2026-07-16 05:30:51.300643,0.0,0.0,0.0,11.955247,17.974627,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7367001.0,61830.0,12731425.0,38706.0,0.0,0.0,0.0,0.0,1784179851.0
2026-07-16 05:30:52.405559,0.0,0.0,0.0,11.959073,17.978453,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7471668.0,62744.0,12783261.0,39484.0,0.0,0.0,0.0,0.0,1784179852.0
2026-07-16 05:30:53.485381,0.0,0.0,0.0,11.960092,17.979472,6.019379,903534.0,150519808.0,402411520.0,379695104.0,88707072.0,7483213.0,62879.0,12783261.0,39484.0,0.0,0.0,0.0,0.0,1784179853.0
2026-07-16 05:30:54.557351,0.0,0.0,0.0,11.963085,17.982464,6.019379,903534.0,150519808.0,402415616.0,379699200.0,88711168.0,7487208.0,62913.0,12791478.0,39528.0,0.0,0.0,0.0,0.0,1784179854.0
2026-07-16 05:30:55.632579,0.0,0.0,0.0,11.963085,17.982464,6.019379,903534.0,150519808.0,402415616.0,379699200.0,88711168.0,7487208.0,62913.0,12791478.0,39528.0,0.0,0.0,0.0,0.0,1784179855.0
2026-07-16 05:30:56.719756,0.0,0.0,0.0,11.96578,17.98516,6.019379,903534.0,150519808.0,402423808.0,379703296.0,88711168.0,7488527.0,62928.0,12795704.0,39548.0,0.0,0.0,0.0,0.0,1784179856.0
2026-07-16 05:30:57.788865,0.0,0.0,0.0,11.968076,17.987456,6.019379,903534.0,150519808.0,402423808.0,379699200.0,88715264.0,7490176.0,62948.0,12801358.0,39575.0,0.0,0.0,0.0,0.0,1784179857.0
2026-07-16 05:30:58.863929,0.0,0.0,0.0,11.97182,17.9912,6.019379,903534.0,150519808.0,402427904.0,379695104.0,88723456.0,7492288.0,62980.0,12812254.0,39623.0,0.0,0.0,0.0,0.0,1784179858.0
2026-07-16 05:30:59.927141,0.0,0.0,0.0,11.977018,17.996398,6.019379,903534.0,150519808.0,402436096.0,379699200.0,88731648.0,7497105.0,63048.0,12834252.0,39722.0,0.0,0.0,0.0,0.0,1784179859.0
2026-07-16 05:31:00.997604,0.0,0.0,0.0,11.987059,18.006439,6.019379,903534.0,150519808.0,402464768.0,379715584.0,88743936.0,7505553.0,63176.0,12877836.0,39914.0,0.0,0.0,0.0,0.0,1784179861.0
2026-07-16 05:31:02.082779,0.0,0.0,0.0,11.987059,18.006439,6.019379,903534.0,150519808.0,402464768.0,379715584.0,88743936.0,7505553.0,63176.0,12877836.0,39914.0,0.0,0.0,0.0,0.0,1784179862.0
2026-07-16 05:31:03.158975,0.0,0.0,0.0,11.992361,18.011741,6.019379,903534.0,150519808.0,402452480.0,379691008.0,88756224.0,7557224.0,63727.0,12921281.0,40477.0,0.0,0.0,0.0,0.0,1784179863.0
2026-07-16 05:31:04.240943,0.0,0.0,0.0,11.993232,18.012612,6.019379,903534.0,150519808.0,402452480.0,379691008.0,88756224.0,7557224.0,63727.0,12921281.0,40477.0,0.0,0.0,0.0,0.0,1784179864.0
2026-07-16 05:31:05.329379,0.0,0.0,0.0,11.994041,18.013421,6.019379,903534.0,150519808.0,402452480.0,379691008.0,88756224.0,7557224.0,63727.0,12921281.0,40477.0,0.0,0.0,0.0,0.0,1784179865.0
2026-07-16 05:31:06.417070,0.0,0.0,0.0,11.995082,18.014461,6.019379,903534.0,150519808.0,402440192.0,379678720.0,88756224.0,7557817.0,63731.0,12921487.0,40480.0,0.0,0.0,0.0,0.0,1784179866.0
2026-07-16 05:31:07.498982,0.0,0.0,0.0,11.995082,18.014461,6.019379,903534.0,150519808.0,402440192.0,379678720.0,88756224.0,7557817.0,63731.0,12921487.0,40480.0,0.0,0.0,0.0,0.0,1784179867.0
2026-07-16 05:31:08.571534,0.0,0.0,0.0,11.996325,18.015705,6.019379,903534.0,150519808.0,402415616.0,379654144.0,88756224.0,7558410.0,63735.0,12921693.0,40483.0,0.0,0.0,0.0,0.0,1784179868.0
2026-07-16 05:31:09.647301,0.0,0.0,0.0,11.997187,18.016567,6.019379,903534.0,150519808.0,402415616.0,379650048.0,88756224.0,7558410.0,63735.0,12921693.0,40483.0,0.0,0.0,0.0,0.0,1784179869.0
2026-07-16 05:31:10.723059,0.0,0.0,0.0,11.997187,18.016567,6.019379,903534.0,150519808.0,402415616.0,379650048.0,88756224.0,7558410.0,63735.0,12921693.0,40483.0,0.0,0.0,0.0,0.0,1784179870.0
2026-07-16 05:31:11.802483,0.0,0.0,0.0,12.001491,18.020871,6.019379,903534.0,150519808.0,402407424.0,379641856.0,88756224.0,7607311.0,64247.0,12955427.0,40994.0,0.0,0.0,0.0,0.0,1784179871.0
2026-07-16 05:31:12.879345,0.0,0.0,0.0,12.001491,18.020871,6.019379,903534.0,150519808.0,402407424.0,379641856.0,88756224.0,7607311.0,64247.0,12955427.0,40994.0,0.0,0.0,0.0,0.0,1784179872.0
2026-07-16 05:31:13.950054,0.0,0.0,0.0,12.076911,18.096291,6.019379,911740.0,158912512.0,410230784.0,387211264.0,89010176.0,7675844.0,65316.0,13278005.0,41538.0,0.0,0.0,0.0,0.0,1784179873.0
2026-07-16 05:31:15.014811,0.0,0.0,0.0,12.111001,18.151574,6.040573,916300.0,158777344.0,408760320.0,385736704.0,89014272.0,7689207.0,65386.0,13356082.0,41573.0,0.0,0.0,0.0,0.0,1784179875.0
2026-07-16 05:31:16.078071,0.0,0.0,0.0,12.111001,18.151574,6.040573,916300.0,158777344.0,408760320.0,385736704.0,89014272.0,7689207.0,65386.0,13356082.0,41573.0,0.0,0.0,0.0,0.0,1784179876.0
2026-07-16 05:31:17.144856,0.0,0.0,0.0,12.138738,18.203128,6.06439,920820.0,158646272.0,407089152.0,384061440.0,89018368.0,7700661.0,65446.0,13423003.0,41603.0,0.0,0.0,0.0,0.0,1784179877.0
2026-07-16 05:31:18.210849,0.0,0.0,0.0,12.164436,18.241665,6.077228,923422.0,158478336.0,406016000.0,382984192.0,89022464.0,7710412.0,65499.0,13479000.0,41632.0,0.0,0.0,0.0,0.0,1784179878.0
2026-07-16 05:31:19.290143,0.0,0.0,0.0,12.205258,18.287943,6.082685,926170.0,158343168.0,405377024.0,382345216.0,89022464.0,7721092.0,65555.0,13541526.0,41660.0,0.0,0.0,0.0,0.0,1784179879.0
2026-07-16 05:31:20.368429,0.0,0.0,0.0,12.205258,18.287943,6.082685,926170.0,158343168.0,405377024.0,382345216.0,89022464.0,7721092.0,65555.0,13541526.0,41660.0,0.0,0.0,0.0,0.0,1784179880.0
2026-07-16 05:31:21.458602,0.0,0.0,0.0,12.227033,18.335583,6.10855,930284.0,158003200.0,403251200.0,380215296.0,89026560.0,7730637.0,65605.0,13597294.0,41685.0,0.0,0.0,0.0,0.0,1784179881.0
2026-07-16 05:31:22.529776,0.0,0.0,0.0,12.239619,18.369363,6.129744,932698.0,157896704.0,402382848.0,379342848.0,89030656.0,7738636.0,65647.0,13644429.0,41706.0,0.0,0.0,0.0,0.0,1784179882.0
2026-07-16 05:31:23.598152,0.0,0.0,0.0,12.247536,18.401079,6.153543,935142.0,157757440.0,401489920.0,378445824.0,89034752.0,7746272.0,65687.0,13689030.0,41726.0,0.0,0.0,0.0,0.0,1784179883.0
2026-07-16 05:31:24.683278,0.0,0.0,0.0,12.314183,18.467726,6.153543,967172.0,202825728.0,447614976.0,424566784.0,89038848.0,7907499.0,66389.0,13728548.0,42195.0,0.0,0.0,0.0,0.0,1784179884.0
2026-07-16 05:31:25.750354,0.0,0.0,0.0,12.314183,18.467726,6.153543,967172.0,202825728.0,447614976.0,424566784.0,89038848.0,7907499.0,66389.0,13728548.0,42195.0,0.0,0.0,0.0,0.0,1784179885.0
2026-07-16 05:31:26.817093,0.0,0.0,0.0,12.322684,18.476227,6.153543,968522.0,204492800.0,451620864.0,428572672.0,89038848.0,8124491.0,67325.0,13772228.0,42819.0,0.0,0.0,0.0,0.0,1784179886.0
2026-07-16 05:31:27.888842,0.0,0.0,0.0,12.339586,18.49456,6.154973,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8227873.0,67947.0,13789168.0,43061.0,0.0,0.0,0.0,0.0,1784179887.0
2026-07-16 05:31:28.958411,0.0,0.0,0.0,12.339586,18.49456,6.154973,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8227873.0,67947.0,13789168.0,43061.0,0.0,0.0,0.0,0.0,1784179888.0
2026-07-16 05:31:30.028504,0.0,0.0,0.0,12.340666,18.496179,6.155512,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8276557.0,68605.0,13789234.0,43062.0,0.0,0.0,0.0,0.0,1784179890.0
2026-07-16 05:31:31.095517,0.0,0.0,0.0,12.340666,18.496179,6.155512,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8276557.0,68605.0,13789234.0,43062.0,0.0,0.0,0.0,0.0,1784179891.0
2026-07-16 05:31:32.170165,0.0,0.0,0.0,12.341529,18.497472,6.155943,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8320439.0,69198.0,13789234.0,43062.0,0.0,0.0,0.0,0.0,1784179892.0
2026-07-16 05:31:33.253904,0.0,0.0,0.0,12.341529,18.497472,6.155943,972562.0,209477632.0,463646720.0,440598528.0,89038848.0,8320439.0,69198.0,13789234.0,43062.0,0.0,0.0,0.0,0.0,1784179893.0
2026-07-16 05:31:34.324954,0.0,0.0,0.0,12.347282,18.506095,6.158812,973132.0,210255872.0,464461824.0,441409536.0,89047040.0,8423562.0,70373.0,13837810.0,43738.0,0.0,0.0,0.0,0.0,1784179894.0
2026-07-16 05:31:35.403006,0.0,0.0,0.0,12.57813,18.736942,6.158812,1008710.0,248938496.0,503463936.0,479760384.0,89694208.0,8547868.0,71152.0,14152088.0,44423.0,0.0,0.0,0.0,0.0,1784179895.0
2026-07-16 05:31:36.481029,0.0,0.0,0.0,12.57813,18.736942,6.158812,1008710.0,248938496.0,503463936.0,479760384.0,89694208.0,8547868.0,71152.0,14152088.0,44423.0,0.0,0.0,0.0,0.0,1784179896.0
2026-07-16 05:31:37.541682,0.0,0.0,0.0,12.591164,18.749976,6.158812,1010544.0,251510784.0,506138624.0,482402304.0,89726976.0,8590650.0,71381.0,14166024.0,44455.0,0.0,0.0,0.0,0.0,1784179897.0
2026-07-16 05:31:38.614480,0.0,0.0,0.0,12.601223,18.760036,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8628894.0,71506.0,14178934.0,44500.0,0.0,0.0,0.0,0.0,1784179898.0
2026-07-16 05:31:39.681127,0.0,0.0,0.0,12.601223,18.760036,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8628894.0,71506.0,14178934.0,44500.0,0.0,0.0,0.0,0.0,1784179899.0
2026-07-16 05:31:40.753273,0.0,0.0,0.0,12.602197,18.761009,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8658676.0,71687.0,14178934.0,44500.0,0.0,0.0,0.0,0.0,1784179900.0
2026-07-16 05:31:41.825235,0.0,0.0,0.0,12.603125,18.761938,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8667274.0,71712.0,14178934.0,44500.0,0.0,0.0,0.0,0.0,1784179901.0
2026-07-16 05:31:42.895328,0.0,0.0,0.0,12.603125,18.761938,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8667274.0,71712.0,14178934.0,44500.0,0.0,0.0,0.0,0.0,1784179902.0
2026-07-16 05:31:43.959895,0.0,0.0,0.0,12.608218,18.767031,6.158812,1012096.0,253706240.0,508420096.0,484659200.0,89751552.0,8732669.0,72383.0,14222428.0,45159.0,0.0,0.0,0.0,0.0,1784179903.0
2026-07-16 05:31:45.046520,0.0,0.0,0.0,12.727226,18.930411,6.203185,1015420.0,256724992.0,512692224.0,488275968.0,90415104.0,8760138.0,72690.0,14523682.0,45604.0,0.0,0.0,0.0,0.0,1784179905.0
2026-07-16 05:31:46.115855,0.0,0.0,0.0,12.731639,18.934825,6.203185,1015452.0,256786432.0,512745472.0,488316928.0,90419200.0,8760938.0,72697.0,14528130.0,45612.0,0.0,0.0,0.0,0.0,1784179906.0
2026-07-16 05:31:47.197348,0.0,0.0,0.0,12.731639,18.934825,6.203185,1015452.0,256786432.0,512745472.0,488316928.0,90419200.0,8760938.0,72697.0,14528130.0,45612.0,0.0,0.0,0.0,0.0,1784179907.0
2026-07-16 05:31:48.271116,0.0,0.0,0.0,12.743767,18.950274,6.206506,1015708.0,257265664.0,513257472.0,488787968.0,90468352.0,8886040.0,73217.0,14568258.0,45934.0,0.0,0.0,0.0,0.0,1784179908.0
2026-07-16 05:31:49.344408,0.0,0.0,0.0,12.743767,18.950274,6.206506,1015708.0,257265664.0,513257472.0,488787968.0,90468352.0,8886040.0,73217.0,14568258.0,45934.0,0.0,0.0,0.0,0.0,1784179909.0
2026-07-16 05:31:50.415232,0.0,0.0,0.0,12.744722,18.951693,6.206971,1015708.0,257265664.0,513257472.0,488779776.0,90468352.0,8932438.0,73310.0,14568258.0,45934.0,0.0,0.0,0.0,0.0,1784179910.0
2026-07-16 05:31:51.493669,0.0,0.0,0.0,12.745349,18.952626,6.207277,1015708.0,257265664.0,513257472.0,488779776.0,90468352.0,8945856.0,73335.0,14568324.0,45935.0,0.0,0.0,0.0,0.0,1784179911.0
2026-07-16 05:31:52.565140,0.0,0.0,0.0,12.745349,18.952626,6.207277,1015708.0,257265664.0,513257472.0,488779776.0,90468352.0,8945856.0,73335.0,14568324.0,45935.0,0.0,0.0,0.0,0.0,1784179912.0
2026-07-16 05:31:53.636215,0.0,0.0,0.0,12.749778,18.957055,6.207277,1015708.0,257265664.0,513437696.0,488960000.0,90468352.0,9006010.0,73994.0,14611686.0,46592.0,0.0,0.0,0.0,0.0,1784179913.0
2026-07-16 05:31:54.699660,0.0,0.0,0.0,12.749778,18.957055,6.207277,1015708.0,257265664.0,513437696.0,488960000.0,90468352.0,9006010.0,73994.0,14611686.0,46592.0,0.0,0.0,0.0,0.0,1784179914.0
2026-07-16 05:31:55.769372,0.0,0.0,0.0,12.860278,19.114517,6.254238,1017078.0,259407872.0,516505600.0,491360256.0,91136000.0,9040021.0,74322.0,14916263.0,47058.0,0.0,0.0,0.0,0.0,1784179915.0
2026-07-16 05:31:56.833486,0.0,0.0,0.0,12.865628,19.122469,6.25684,1017086.0,259420160.0,516567040.0,491421696.0,91140096.0,9041687.0,74337.0,14925225.0,47075.0,0.0,0.0,0.0,0.0,1784179916.0
2026-07-16 05:31:57.900564,0.0,0.0,0.0,12.865628,19.122469,6.25684,1017086.0,259420160.0,516567040.0,491421696.0,91140096.0,9041687.0,74337.0,14925225.0,47075.0,0.0,0.0,0.0,0.0,1784179917.0
2026-07-16 05:31:58.985376,0.0,0.0,0.0,12.873647,19.134387,6.26074,1017158.0,259526656.0,516706304.0,491507712.0,91189248.0,9042611.0,74351.0,14940303.0,47096.0,0.0,0.0,0.0,0.0,1784179919.0
