dst_port,protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,fwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
80,6,999.0,12047047.047047043,15015.015015015011,9009.009009009009,6006.006006006005,9,6,694,11341,150,66,77.11111111111111,25.97624745991548,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.3333333333334,1885.3905578302747,3554697.5555555546,180,120,20,1,71.35714285714286,200.0,0.0,75.47810197369182,999.0,404.0,0.0,124.8749999999,133.35332532409998,778.0,357.0,0.0,155.6,124.43890067009998,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.3333333333334,64240,65160,77.11111111111111,1890.1666666666667,0,9,6,694,11341,0
80,6,1020.0,11801960.784313723,14705.882352941177,8823.529411764704,5882.35294117647,9,6,697,11341,153,66,77.44444444444444,26.911835938490835,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.5333333333333,1885.3215063278265,3554437.182222224,180,120,20,1,72.85714285714286,252.0,0.0,74.31098471275692,1020.0,276.0,0.0,127.5,101.2867217358,755.9999999999,231.0,53.0,151.2,59.20945870382536,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.5333333333333,64240,65160,77.44444444444444,1890.1666666666667,0,9,6,697,11341,0
80,6,1491.0,8068410.46277666,10060.36217303823,6036.2173038229375,4024.144869215292,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,106.5,353.0,0.0,120.4834013464,1491.0,674.0,0.0,186.375,218.2137355323,1195.0,438.0,0.0,239.0,196.6001017293,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,1473.0,8170400.543109301,10183.299389002035,6109.979633401223,4073.319755600815,9,6,694,11341,150,66,77.11111111111111,25.97624745991548,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.3333333333334,1885.3905578302747,3554697.5555555546,180,120,20,1,105.2142857142,421.0,0.0,119.7754915136,1473.0,660.0,0.0,184.125,215.6828907794,1195.0,438.0,0.0,238.9999999999,197.8413505817,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.3333333333334,64240,65160,77.11111111111111,1890.1666666666667,0,9,6,694,11341,0
80,6,1209.0,9956989.247311829,12406.94789081886,7444.168734491315,4962.779156327543,9,6,697,11341,153,66,77.44444444444444,26.911835938490835,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.5333333333333,1885.3215063278265,3554437.182222224,180,120,20,1,86.35714285714286,275.0,0.0,100.3519571613,1209.0,522.0,0.0,151.125,170.7750256185,937.0,343.0,0.0,187.4,154.1461644024,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.5333333333333,64240,65160,77.44444444444444,1890.1666666666667,0,9,6,697,11341,0
80,6,1027.0,11718597.857838364,14605.647517039924,8763.388510223955,5842.259006815969,9,6,694,11341,150,66,77.11111111111111,25.97624745991548,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.3333333333334,1885.3905578302747,3554697.5555555546,180,120,20,1,73.35714285714285,289.0,0.0,86.67641559506346,1027.0,448.0,0.0,128.375,142.79262717310002,793.0,289.0,1.0,158.6,100.4521776767,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.3333333333334,64240,65160,77.11111111111111,1890.1666666666667,0,9,6,694,11341,0
80,6,1158.0,10388601.03626943,12953.36787564767,7772.020725388601,5181.347150259067,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,82.71428571428571,342.0,0.0,100.9507861509,1158.0,527.0,0.0,144.75,170.25844325609998,963.0,342.0,1.0,192.6,137.0687418779,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,842.0,14296912.114014251,17814.726840855106,10688.836104513064,7125.890736342043,9,6,697,11341,153,66,77.44444444444444,26.911835938490835,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.5333333333333,1885.3215063278265,3554437.182222224,180,120,20,1,60.14285714285714,247.0,0.0,78.05387987323442,842.0,265.0,0.0,105.25,91.80107570175852,635.0,316.0,1.0,127.0,120.2114803169,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.5333333333333,64240,65160,77.44444444444444,1890.1666666666667,0,9,6,697,11341,0
80,6,1202.0,10012479.201331114,12479.20133111481,7487.520798668886,4991.680532445924,9,6,694,11341,150,66,77.11111111111111,25.97624745991548,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.3333333333334,1885.3905578302747,3554697.5555555546,180,120,20,1,85.85714285714285,284.0,0.0,86.68074192349857,1202.0,492.00000000000006,0.0,150.25,148.485479088,986.0,372.0,12.0,197.1999999999,136.09173376799998,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.3333333333334,64240,65160,77.11111111111111,1890.1666666666667,0,9,6,694,11341,0
80,6,1105.0,10886877.828054298,13574.660633484162,8144.796380090497,5429.8642533936645,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,78.92857142857142,234.0,0.0,78.61339788185354,1104.9999999999,405.0,0.0,138.125,131.74733156690002,907.0,372.0,2.0,181.4,129.7067461622,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
